ValueID,Value,Unit,Currency,year,Currency.xe,Code,usd_per_unit
1384,1253575,VND/ha/yr,Vietnamese Dong,2005,Vietnamese Dong,VND,6.30E-05
1385,72456.8,VND/ha/yr,Vietnamese Dong,2005,Vietnamese Dong,VND,6.30E-05
1386,142234.5,VND/ha/yr,Vietnamese Dong,2005,Vietnamese Dong,VND,6.30E-05
1387,1977089.7,VND/ha/yr,Vietnamese Dong,2005,Vietnamese Dong,VND,6.30E-05
1388,3649.8,VND/ha/yr,Vietnamese Dong,2005,Vietnamese Dong,VND,6.30E-05
1389,77201.6,VND/ha/yr,Vietnamese Dong,2005,Vietnamese Dong,VND,6.30E-05
1390,670000,VND/ha/yr,Vietnamese Dong,2002,Vietnamese Dong,VND,6.59E-05
1391,44020000,VND/yr,Vietnamese Dong,2002,Vietnamese Dong,VND,6.59E-05
1392,35000,VND/ha/yr,Vietnamese Dong,2002,Vietnamese Dong,VND,6.59E-05
1393,3466.666667,VND/ha/yr,Vietnamese Dong,2002,Vietnamese Dong,VND,6.59E-05
1394,165371,VND/ha/yr,Vietnamese Dong,2002,Vietnamese Dong,VND,6.59E-05
1395,42816857,VND/ha/yr,Vietnamese Dong,2002,Vietnamese Dong,VND,6.59E-05
1116,335342.4658,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1117,335342.4658,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1118,335342.4658,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1119,268273.9726,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1120,201205.4795,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1121,201205.4795,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1122,134136.9863,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1123,134136.9863,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1124,134136.9863,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
1125,134136.9863,Riel/ha/yr,Cambodian Riel,2005,Cambodian Riel,KHR,2.44E-04
